"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
4874040026105240000,4874040026,경상남도 창녕군 도천면 논리,1,일반,524,4874040026105240000,2017,01,1,1,410,410,72.7,72.7,14400000,N,2017-11-27
4874040026105250001,4874040026,경상남도 창녕군 도천면 논리,1,일반,525-1,4874040026105250001,2017,01,2,2,334,334,205.5,205.5,32200000,N,2017-11-27
4874040026105270000,4874040026,경상남도 창녕군 도천면 논리,1,일반,527,4874040026105270000,2017,01,1,1,212,212,141.84,141.84,33000000,N,2017-11-27
4874040026105280000,4874040026,경상남도 창녕군 도천면 논리,1,일반,528,4874040026105280000,2017,01,1,1,83,83,26.4,26.4,3310000,N,2017-11-27
4874040026105290003,4874040026,경상남도 창녕군 도천면 논리,1,일반,529-3,4874040026105290003,2017,01,1,1,233,233,86.5,86.5,10300000,N,2017-11-27
4874040026105290006,4874040026,경상남도 창녕군 도천면 논리,1,일반,529-6,4874040026105290006,2017,01,1,1,97,97,60,60,6430000,N,2017-11-27
4874040026105290007,4874040026,경상남도 창녕군 도천면 논리,1,일반,529-7,4874040026105290007,2017,01,1,1,186,186,62.8,62.8,6880000,N,2017-11-27
4874040026105290009,4874040026,경상남도 창녕군 도천면 논리,1,일반,529-9,4874040026105290009,2017,01,1,1,251,251,69.48,69.48,40200000,N,2017-11-27
4874040026105300000,4874040026,경상남도 창녕군 도천면 논리,1,일반,530,4874040026105300000,2017,01,2,2,532,532,68.2,68.2,20100000,N,2017-11-27
4874040026105310000,4874040026,경상남도 창녕군 도천면 논리,1,일반,531,4874040026105310000,2017,01,1,1,347,347,87.25,77.5,29600000,N,2017-11-27
4874040026105310001,4874040026,경상남도 창녕군 도천면 논리,1,일반,531-1,4874040026105310001,2017,01,1,1,324,324,56.1,56.1,26900000,N,2017-11-27
4874040026105320000,4874040026,경상남도 창녕군 도천면 논리,1,일반,532,4874040026105320000,2017,01,1,1,53,53,42.98,42.98,4000000,N,2017-11-27
4874040026105590006,4874040026,경상남도 창녕군 도천면 논리,1,일반,559-6,4874040026105590006,2017,01,1,1,615,615,88.17,88.17,64400000,N,2017-11-27
4874040026105620000,4874040026,경상남도 창녕군 도천면 논리,1,일반,562,4874040026105620000,2017,01,1,1,175,175,82.26,82.26,8890000,N,2017-11-27
4874040026105630000,4874040026,경상남도 창녕군 도천면 논리,1,일반,563,4874040026105630000,2017,01,1,1,263,263,201.7,201.7,13000000,N,2017-11-27
4874040026105800000,4874040026,경상남도 창녕군 도천면 논리,1,일반,580,4874040026105800000,2017,01,99999,99999,331,331,92.8,92.8,33500000,Y,2017-11-27
4874041021103580000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,358,4874041021103580000,2017,01,1,1,1005,1005,126.3,126.3,13600000,N,2017-11-27
4874041021103580000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,358,4874041021103580000,2017,01,2,2,1005,1005,62.81,62.81,18600000,N,2017-11-27
4874041021103610000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,361,4874041021103610000,2017,01,1,1,600,600,87.22,87.22,38700000,N,2017-11-27
4874041021103740000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,374,4874041021103740000,2017,01,1,1,705,705,120.57,120.57,75400000,N,2017-11-27
4874041021103740001,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,374-1,4874041021103740001,2017,01,1,1,532,532,99,99,74600000,N,2017-11-27
4874041021103760003,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,376-3,4874041021103760003,2017,01,1,1,637,637,79.3,79.3,47700000,N,2017-11-27
4874041021103910000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,391,4874041021103910000,2017,01,1,1,650,650,90.52,90.52,90100000,N,2017-11-27
4874041021103910002,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,391-2,4874041021103910002,2017,01,1,1,1247,1002,169.52,169.52,159000000,N,2017-11-27
4874041021103970000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,397,4874041021103970000,2017,01,2,2,314,314,13.22,13.22,11500000,N,2017-11-27
4874041021103990000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,399,4874041021103990000,2017,01,1,1,575,575,36.36,36.36,13700000,N,2017-11-27
4874041021104000000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,400,4874041021104000000,2017,01,1,1,685,685,29.75,29.75,34600000,N,2017-11-27
4874041021104020001,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,402-1,4874041021104020001,2017,01,1,1,2053,66,26.45,26.45,4890000,N,2017-11-27
4874041021104020008,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,402-8,4874041021104020008,2017,01,1,1,539,539,132.22,132.22,34900000,N,2017-11-27
4874041021104030000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,403,4874041021104030000,2017,01,1,1,1571,1571,52.89,52.89,29400000,N,2017-11-27
