"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
3011011400103180039,3011011400,대전광역시 동구 가양동,1,일반,0318-0039,3011011400103180039,2019,01,1,1,152,152,125.13,125.13,103000000,N,2019-07-19
3011011400103180041,3011011400,대전광역시 동구 가양동,1,일반,0318-0041,3011011400103180041,2019,01,1,1,174.3,174.3,94.25,94.25,86100000,N,2019-07-19
3011011400103180042,3011011400,대전광역시 동구 가양동,1,일반,0318-0042,3011011400103180042,2019,01,1,1,190.3,190.3,118.58,118.58,128000000,N,2019-07-19
3011011400103180049,3011011400,대전광역시 동구 가양동,1,일반,0318-0049,3011011400103180049,2019,01,1,1,166.6,166.6,154.91,154.91,117000000,N,2019-07-19
3011011400103180054,3011011400,대전광역시 동구 가양동,1,일반,0318-0054,3011011400103180054,2019,01,1,1,99.5,48.26,106.18,51.5,36600000,N,2019-07-19
3011011400103180055,3011011400,대전광역시 동구 가양동,1,일반,0318-0055,3011011400103180055,2019,01,0,0,83.5,83.5,49.16,49.16,59500000,N,2019-07-19
3011011400103190001,3011011400,대전광역시 동구 가양동,1,일반,0319-0001,3011011400103190001,2019,01,1,1,172.7,172.7,81.33,81.33,131000000,N,2019-07-19
3011011400103190002,3011011400,대전광역시 동구 가양동,1,일반,0319-0002,3011011400103190002,2019,01,1,1,345.5,345.5,181.51,181.51,263000000,N,2019-07-19
3011011400103190004,3011011400,대전광역시 동구 가양동,1,일반,0319-0004,3011011400103190004,2019,01,1,1,270.7,270.7,152.64,152.64,179000000,N,2019-07-19
3011011400103190005,3011011400,대전광역시 동구 가양동,1,일반,0319-0005,3011011400103190005,2019,01,3,3,86.8,86.8,55.67,55.67,42400000,N,2019-07-19
3011011400103190006,3011011400,대전광역시 동구 가양동,1,일반,0319-0006,3011011400103190006,2019,01,0,0,383.4,304.57,600.85,477.34,589000000,N,2019-07-19
3011011400103190009,3011011400,대전광역시 동구 가양동,1,일반,0319-0009,3011011400103190009,2019,01,1,1,63.4,63.4,28.43,28.43,45400000,N,2019-07-19
3011011400103190010,3011011400,대전광역시 동구 가양동,1,일반,0319-0010,3011011400103190010,2019,01,1,1,285,285,158.43,158.43,214000000,N,2019-07-19
3011011400103190012,3011011400,대전광역시 동구 가양동,1,일반,0319-0012,3011011400103190012,2019,01,1,1,358.7,358.7,45.75,45.75,231000000,N,2019-07-19
3011011400103190016,3011011400,대전광역시 동구 가양동,1,일반,0319-0016,3011011400103190016,2019,01,0,0,207.3,207.3,135.71,135.71,169000000,N,2019-07-19
3011011400103190018,3011011400,대전광역시 동구 가양동,1,일반,0319-0018,3011011400103190018,2019,01,0,0,108.1,108.1,59.48,59.48,100000000,N,2019-07-19
